PANIER OS - DASHBOARD FINANSYE,,,,
,,,,
--- 1. TABLEAU BUDGET MENSUEL (REG 50/20/10/10/10) ---,,,,
SALE NET ESTIMASYON :,37000,HTG,,
KATEGORI,POUSANTAJ,BIDJE TEORIK,DEPANS REYEL,DIFERANS
"Bezwen (Manje, Transpo, Lojman)",0.5,=B4*B6,0,=C6-D6
"Epay (Entouchab)",0.2,=B4*B7,0,=C7-D7
"Fomasyon (Kou, Done, Zouti)",0.1,=B4*B8,0,=C8-D8
"Proje (Freelance, Kontni)",0.1,=B4*B9,0,=C9-D9
"Lwaazi / Enprevisi",0.1,=B4*B10,0,=C10-D10
TOTAL,=SUM(B6:B10),=SUM(C6:C10),=SUM(D6:D10),=SUM(E6:E10)
,,,,
--- 2. BAWOMET EPAY (OBJEKTIF 44400 HTG) ---,,,,
OBJEKTIF EPAY FINAL :,44400,HTG,,
TOTAL EPAY AKTYEL :,=SUM(C20:C25),HTG,,
KANTITE KI RETE :,=B14-B15,HTG,,
POUSANTAJ AKONPLI :,=B15/B14,,,,
,,,,
--- 3. TRACKER DEPANS AK EPAY CHAK MWA (ME - OKTOB) ---,,,,
MWA,SALE RESEVWA,EPAY VIRE,DEPANS BEZWEN,LOT DEPANS
Me 2026,0,0,0,0
Jen 2026,0,0,0,0
Jiye 2026,0,0,0,0
Out 2026,0,0,0,0
Septanm 2026,0,0,0,0
Oktob 2026,0,0,0,0
TOTAL,=SUM(B20:B25),=SUM(C20:C25),=SUM(D20:D25),=SUM(E20:E25)
